    0    0    0
    1  0.088900-914.400000    0   1
    2  0.088900-914.251172    0   1
    3  0.088900-914.102344    0   1
    4  0.088900-913.953516    0   1
    5  0.088900-913.804688    0   1
    6  0.088900-913.655859    0   1
    7  0.088900-913.507031    0   1
    8  0.088900-913.358203    0    0
    9  0.088900-913.209375    0    0
   10  0.088900-913.060547    0    0
   11  0.088900-912.911719    0    0
   12  0.088900-912.762891    0    0
   13  0.088900-912.614063    0    0
   14  0.088900-912.465234    0    0
   15  0.088900-912.316406    0    0
   16  0.088900-912.167578    0    0
   17  0.088900-912.018750    0    0
   18  0.088900-911.869922    0    0
   19  0.088900-911.721094    0    0
   20  0.088900-911.572266    0    0
   21  0.088900-911.423438    0    0
   22  0.088900-911.274609    0    0
   23  0.088900-911.125781    0    0
   24  0.088900-910.976953    0    0
   25  0.088900-910.828125    0    0
   26  0.088900-910.679297    0    0
   27  0.088900-910.530469    0    0
   28  0.088900-910.381641    0    0
   29  0.088900-910.232813    0    0
   30  0.088900-910.083984    0    0
   31  0.088900-909.935156    0    0
   32  0.088900-909.786328    0    0
   33  0.088900-909.637500    0    0
   34  0.088900-909.488672    0    0
   35  0.088900-909.339844    0    0
   36  0.088900-909.191016    0    0
   37  0.088900-909.042188    0    0
   38  0.088900-908.893359    0    0
   39  0.088900-908.744531    0    0
   40  0.088900-908.595703    0    0
   41  0.088900-908.446875    0    0
   42  0.088900-908.298047    0    0
   43  0.088900-908.149219    0    0
   44  0.088900-908.000391    0    0
   45  0.088900-907.851563    0    0
   46  0.088900-907.702734    0    0
   47  0.088900-907.553906    0    0
   48  0.088900-907.405078    0    0
   49  0.088900-907.256250    0    0
   50  0.088900-907.107422    0    0
   51  0.088900-906.958594    0    0
   52  0.088900-906.809766    0    0
   53  0.088900-906.660938    0    0
   54  0.088900-906.512109    0    0
   55  0.088900-906.363281    0    0
   56  0.088900-906.214453    0    0
   57  0.088900-906.065625    0    0
   58  0.088900-905.916797    0    0
   59  0.088900-905.767969    0    0
   60  0.088900-905.619141    0    0
   61  0.088900-905.470313    0    0
   62  0.088900-905.321484    0    0
   63  0.088900-905.172656    0    0
   64  0.088900-905.023828    0    0
   65  0.088900-904.875000    0    0
   66  0.088900-904.726172    0    0
   67  0.088900-904.577344    0    0
   68  0.088900-904.428516    0    0
   69  0.088900-904.279688    0    0
   70  0.088900-904.130859    0    0
   71  0.088900-903.982031    0    0
   72  0.088900-903.833203    0    0
   73  0.088900-903.684375    0    0
   74  0.088900-903.535547    0    0
